month,pnl
2024-01,74255.49999999999
2024-02,164535.74999999997
2024-03,173489.24999999997
2024-04,100027.24999999999
2024-05,225034.49999999997
2024-06,-169456.25
2024-07,76277.75
2024-08,-12969.500000000002
2024-09,-3372.250000000002
