pe_gap,ce_gap,pe_symbol_gap,ce_symbol_gap,target_pct,stop_loss_pct,max_open_positions,total_pnl,total_trades,win_rate,avg_trade,max_drawdown,final_cum_pnl
40,20,100,150,0.7,0.75,3,484618.75,767,65.84093872229465,631.8367014341591,-272704.625,484618.75
40,20,100,150,0.7,0.75,5,484618.75,767,65.84093872229465,631.8367014341591,-272704.625,484618.75
30,40,100,150,0.7,0.5,3,484341.5,780,59.35897435897436,620.9506410256411,-170333.0,484341.5
30,40,100,150,0.7,0.5,5,484341.5,780,59.35897435897436,620.9506410256411,-170333.0,484341.5
30,40,200,100,0.7,0.75,3,481806.625,780,65.51282051282051,617.7008012820513,-262733.625,481806.625
30,40,200,100,0.7,0.75,5,481806.625,780,65.51282051282051,617.7008012820513,-262733.625,481806.625
30,20,100,200,0.7,0.5,3,481240.25,863,59.21205098493627,557.6364426419467,-225047.5,481240.25
30,20,100,200,0.7,0.5,5,481240.25,863,59.21205098493627,557.6364426419467,-225047.5,481240.25
40,20,150,150,0.7,0.5,3,478666.5,767,57.6271186440678,624.0762711864406,-209707.25,478666.5
40,20,150,150,0.7,0.5,5,478666.5,767,57.6271186440678,624.0762711864406,-209707.25,478666.5
40,40,150,100,0.7,0.75,3,476929.875,684,65.05847953216374,697.265899122807,-220304.625,476929.875
40,40,150,100,0.7,0.75,5,476929.875,684,65.05847953216374,697.265899122807,-220304.625,476929.875
30,20,100,150,0.6,0.5,3,471508.5,863,61.06604866743916,546.3597914252607,-190122.5,471508.5
30,20,100,150,0.6,0.5,5,471508.5,863,61.06604866743916,546.3597914252607,-190122.5,471508.5
40,20,200,150,0.7,0.5,3,470535.75,767,58.01825293350718,613.4755541069101,-205522.5,470535.75
40,20,200,150,0.7,0.5,5,470535.75,767,58.01825293350718,613.4755541069101,-205522.5,470535.75
30,20,150,100,0.7,0.75,3,469830.375,863,64.42641946697567,544.4152665121669,-365923.625,469830.375
30,20,150,100,0.7,0.75,5,469830.375,863,64.42641946697567,544.4152665121669,-365923.625,469830.375
40,40,150,100,0.7,0.5,3,469088.74999999994,684,58.333333333333336,685.8022660818713,-125044.75,469088.75
40,40,150,100,0.7,0.5,5,469088.74999999994,684,58.333333333333336,685.8022660818713,-125044.75,469088.75
40,20,100,100,0.7,0.75,3,466289.75,767,63.49413298565841,607.9397001303781,-330198.875,466289.75
40,20,100,100,0.7,0.75,5,466289.75,767,63.49413298565841,607.9397001303781,-330198.875,466289.75
20,40,100,100,0.7,0.75,3,464282.125,531,64.21845574387947,874.3542843691149,-103335.0,464282.125
20,40,100,100,0.7,0.75,5,464282.125,531,64.21845574387947,874.3542843691149,-103335.0,464282.125
20,40,150,100,0.7,0.75,3,462709.12499999994,531,64.21845574387947,871.3919491525422,-103335.0,462709.125
20,40,150,100,0.7,0.75,5,462709.12499999994,531,64.21845574387947,871.3919491525422,-103335.0,462709.125
20,40,200,100,0.7,0.75,3,461620.75,531,64.21845574387947,869.3422787193973,-103335.0,461620.75
20,40,200,100,0.7,0.75,5,461620.75,531,64.21845574387947,869.3422787193973,-103335.0,461620.75
40,40,200,100,0.7,0.5,3,460958.0,684,58.77192982456141,673.9152046783626,-120860.0,460958.0
40,40,200,100,0.7,0.5,5,460958.0,684,58.77192982456141,673.9152046783626,-120860.0,460958.0
30,40,100,150,0.7,0.75,3,459958.125,780,66.15384615384615,589.6899038461538,-246869.25,459958.125
30,40,100,150,0.7,0.75,5,459958.125,780,66.15384615384615,589.6899038461538,-246869.25,459958.125
40,40,200,100,0.7,0.75,3,459635.375,684,64.91228070175438,671.9815423976609,-213241.75,459635.375
40,40,200,100,0.7,0.75,5,459635.375,684,64.91228070175438,671.9815423976609,-213241.75,459635.375
40,20,100,100,0.6,0.5,3,456508.75,767,58.670143415906125,595.1874185136897,-222107.5,456508.75
40,20,100,100,0.6,0.5,5,456508.75,767,58.670143415906125,595.1874185136897,-222107.5,456508.75
30,40,100,100,0.7,1.0,3,456398.25,780,71.02564102564102,585.1259615384615,-369782.25,456398.25
30,40,100,100,0.7,1.0,5,456398.25,780,71.02564102564102,585.1259615384615,-369782.25,456398.25
40,40,100,100,0.7,1.0,3,453227.0,684,70.76023391812866,662.6125730994152,-289087.75,453227.0
40,40,100,100,0.7,1.0,5,453227.0,684,70.76023391812866,662.6125730994152,-289087.75,453227.0
30,20,150,150,0.6,0.5,3,452200.5,863,60.950173812282735,523.9866743916571,-186553.25,452200.5
30,20,150,150,0.6,0.5,5,452200.5,863,60.950173812282735,523.9866743916571,-186553.25,452200.5
30,20,200,150,0.7,0.75,3,452062.25,863,66.28041714947857,523.8264774044032,-322923.5,452062.25
30,20,200,150,0.7,0.75,5,452062.25,863,66.28041714947857,523.8264774044032,-322923.5,452062.25
30,30,100,100,0.7,0.5,3,451391.5,672,56.99404761904761,671.7135416666666,-189035.75,451391.5
30,30,100,100,0.7,0.5,5,451391.5,672,56.99404761904761,671.7135416666666,-189035.75,451391.5
30,40,150,150,0.7,0.5,3,451095.0,780,59.1025641025641,578.3269230769231,-164444.0,451095.0
30,40,150,150,0.7,0.5,5,451095.0,780,59.1025641025641,578.3269230769231,-164444.0,451095.0
30,20,150,200,0.7,0.5,3,447993.75,863,58.9803012746234,519.1121089223639,-220572.5,447993.75
30,20,150,200,0.7,0.5,5,447993.75,863,58.9803012746234,519.1121089223639,-220572.5,447993.75
30,20,100,200,0.7,0.75,3,447566.0,863,67.90266512166859,518.6164542294322,-313887.375,447566.0
30,20,100,200,0.7,0.75,5,447566.0,863,67.90266512166859,518.6164542294322,-313887.375,447566.0
40,20,150,150,0.7,0.75,3,447185.49999999994,767,65.97131681877445,583.0319426336375,-267929.5,447185.5
40,20,150,150,0.7,0.75,5,447185.49999999994,767,65.97131681877445,583.0319426336375,-267929.5,447185.5
40,20,150,100,0.6,0.5,3,446857.25,767,58.53976531942634,582.6039765319426,-218250.75,446857.25
40,20,150,100,0.6,0.5,5,446857.25,767,58.53976531942634,582.6039765319426,-218250.75,446857.25
30,40,100,100,0.6,0.5,3,444842.0,780,61.410256410256416,570.3102564102564,-151623.0,444842.0
30,40,100,100,0.6,0.5,5,444842.0,780,61.410256410256416,570.3102564102564,-151623.0,444842.0
40,20,200,100,0.6,0.5,3,444602.25,767,59.0612777053455,579.6639504563234,-213841.5,444602.25
40,20,200,100,0.6,0.5,5,444602.25,767,59.0612777053455,579.6639504563234,-213841.5,444602.25
20,40,200,100,0.7,1.0,3,439161.5,531,69.86817325800376,827.0461393596987,-118237.75,439161.5
20,40,200,100,0.7,1.0,5,439161.5,531,69.86817325800376,827.0461393596987,-118237.75,439161.5
30,40,150,150,0.7,0.75,3,438515.875,780,66.41025641025641,562.1998397435898,-236975.25,438515.875
30,40,150,150,0.7,0.75,5,438515.875,780,66.41025641025641,562.1998397435898,-236975.25,438515.875
30,20,200,150,0.6,0.5,3,435760.0,863,61.41367323290846,504.93626882966396,-173536.25,435760.0
30,20,200,150,0.6,0.5,5,435760.0,863,61.41367323290846,504.93626882966396,-173536.25,435760.0
20,40,150,100,0.7,1.0,3,435248.5,531,69.49152542372882,819.6770244821092,-118237.75,435248.5
20,40,150,100,0.7,1.0,5,435248.5,531,69.49152542372882,819.6770244821092,-118237.75,435248.5
40,40,100,150,0.7,0.75,3,434975.25,684,65.64327485380117,635.9287280701755,-207506.75,434975.25
40,40,100,150,0.7,0.75,5,434975.25,684,65.64327485380117,635.9287280701755,-207506.75,434975.25
20,20,100,150,0.7,0.75,3,434537.75,614,65.47231270358306,707.7162052117263,-174985.625,434537.75
20,20,100,150,0.7,0.75,5,434537.75,614,65.47231270358306,707.7162052117263,-174985.625,434537.75
30,20,200,100,0.7,0.75,3,433733.25,863,64.1946697566628,502.587775202781,-380417.75,433733.25
30,20,200,100,0.7,0.75,5,433733.25,863,64.1946697566628,502.587775202781,-380417.75,433733.25
20,20,150,150,0.7,0.75,3,432964.75,614,65.47231270358306,705.1543159609121,-174985.625,432964.75
20,20,150,150,0.7,0.75,5,432964.75,614,65.47231270358306,705.1543159609121,-174985.625,432964.75
20,20,200,150,0.7,0.75,3,431876.375,614,65.47231270358306,703.3817182410423,-174985.625,431876.375
20,20,200,150,0.7,0.75,5,431876.375,614,65.47231270358306,703.3817182410423,-174985.625,431876.375
20,20,100,150,0.7,0.5,3,431564.25,614,57.16612377850163,702.8733713355049,-137894.5,431564.25
20,20,100,150,0.7,0.5,5,431564.25,614,57.16612377850163,702.8733713355049,-137894.5,431564.25
20,40,100,100,0.7,1.0,3,430304.0,531,69.30320150659134,810.3653483992467,-118237.75,430304.0
20,40,100,100,0.7,1.0,5,430304.0,531,69.30320150659134,810.3653483992467,-118237.75,430304.0
40,20,200,150,0.7,0.75,3,429891.0,767,65.84093872229465,560.48370273794,-262273.625,429891.0
40,20,200,150,0.7,0.75,5,429891.0,767,65.84093872229465,560.48370273794,-262273.625,429891.0
20,20,100,100,0.6,0.5,3,429654.25,614,58.306188925081436,699.7626221498372,-143795.0,429654.25
20,20,100,100,0.6,0.5,5,429654.25,614,58.306188925081436,699.7626221498372,-143795.0,429654.25
40,20,150,100,0.7,0.75,3,428856.5,767,63.6245110821382,559.1349413298566,-325423.75,428856.5
40,20,150,100,0.7,0.75,5,428856.5,767,63.6245110821382,559.1349413298566,-325423.75,428856.5
30,40,150,100,0.7,1.0,3,427916.25,780,71.15384615384616,548.6105769230769,-356572.75,427916.25
30,40,150,100,0.7,1.0,5,427916.25,780,71.15384615384616,548.6105769230769,-356572.75,427916.25
30,40,100,100,0.6,0.75,3,427320.875,780,68.2051282051282,547.8472756410256,-223624.5,427320.875
30,40,100,100,0.6,0.75,5,427320.875,780,68.2051282051282,547.8472756410256,-223624.5,427320.875
30,20,100,150,0.7,1.0,3,427162.5,863,71.14716106604867,494.9739281575898,-426990.25,427162.5
30,20,100,150,0.7,1.0,5,427162.5,863,71.14716106604867,494.9739281575898,-426990.25,427162.5
30,40,200,150,0.7,0.5,3,426457.5,780,59.35897435897436,546.7403846153846,-158337.5,426457.5
30,40,200,150,0.7,0.5,5,426457.5,780,59.35897435897436,546.7403846153846,-158337.5,426457.5
30,20,150,200,0.7,0.75,3,426123.75,863,68.13441483198146,493.7702780996524,-282416.125,426123.75
30,20,150,200,0.7,0.75,5,426123.75,863,68.13441483198146,493.7702780996524,-282416.125,426123.75
30,40,150,100,0.6,0.5,3,425534.0,780,61.282051282051285,545.5564102564102,-146841.75,425534.0
30,40,150,100,0.6,0.5,5,425534.0,780,61.282051282051285,545.5564102564102,-146841.75,425534.0
40,40,150,100,0.7,1.0,3,424796.25,684,70.6140350877193,621.047149122807,-280364.25,424796.25
40,40,150,100,0.7,1.0,5,424796.25,684,70.6140350877193,621.047149122807,-280364.25,424796.25
20,20,150,150,0.7,0.5,3,424698.75,614,57.00325732899023,691.6917752442997,-137894.5,424698.75
20,20,150,150,0.7,0.5,5,424698.75,614,57.00325732899023,691.6917752442997,-137894.5,424698.75
20,20,200,100,0.6,0.5,3,424356.75,614,58.306188925081436,691.1347719869707,-143795.0,424356.75
20,20,200,100,0.6,0.5,5,424356.75,614,58.306188925081436,691.1347719869707,-143795.0,424356.75
40,20,100,150,0.7,1.0,3,423991.25,767,70.92568448500653,552.7917209908735,-320856.0,423991.25
40,20,100,150,0.7,1.0,5,423991.25,767,70.92568448500653,552.7917209908735,-320856.0,423991.25
20,20,150,100,0.6,0.5,3,423764.0,614,57.98045602605863,690.1693811074919,-143795.0,423764.0
20,20,150,100,0.6,0.5,5,423764.0,614,57.98045602605863,690.1693811074919,-143795.0,423764.0
30,20,200,200,0.7,0.5,3,423356.25,863,59.21205098493627,490.5634414831981,-215908.0,423356.25
30,20,200,200,0.7,0.5,5,423356.25,863,59.21205098493627,490.5634414831981,-215908.0,423356.25
20,20,200,150,0.7,0.5,3,423298.5,614,57.16612377850163,689.4112377850163,-137894.5,423298.5
20,20,200,150,0.7,0.5,5,423298.5,614,57.16612377850163,689.4112377850163,-137894.5,423298.5
40,20,100,200,0.7,0.75,3,422583.125,767,67.66623207301173,550.9558344198175,-260390.0,422583.125
40,20,100,200,0.7,0.75,5,422583.125,767,67.66623207301173,550.9558344198175,-260390.0,422583.125
20,40,100,100,0.7,0.5,3,421986.4999999999,531,58.00376647834275,794.7015065913369,-72838.25,421986.5
20,40,100,100,0.7,0.5,5,421986.4999999999,531,58.00376647834275,794.7015065913369,-72838.25,421986.5
30,40,150,100,0.6,0.75,3,421206.875,780,68.58974358974359,540.0088141025641,-215158.875,421206.875
30,40,150,100,0.6,0.75,5,421206.875,780,68.58974358974359,540.0088141025641,-215158.875,421206.875
30,30,150,100,0.7,0.5,3,418145.0,672,56.69642857142857,622.2395833333334,-183146.75,418145.0
30,30,150,100,0.7,0.5,5,418145.0,672,56.69642857142857,622.2395833333334,-183146.75,418145.0
30,40,100,200,0.7,0.5,3,417980.25,780,59.743589743589745,535.8721153846154,-162243.5,417980.25
30,40,100,200,0.7,0.5,5,417980.25,780,59.743589743589745,535.8721153846154,-162243.5,417980.25
40,40,200,100,0.7,1.0,3,417097.25,684,70.90643274853801,609.7913011695906,-270423.25,417097.25
40,40,200,100,0.7,1.0,5,417097.25,684,70.90643274853801,609.7913011695906,-270423.25,417097.25
20,20,100,100,0.7,0.75,3,416208.75,614,62.54071661237784,677.8644136807818,-232479.875,416208.75
20,20,100,100,0.7,0.75,5,416208.75,614,62.54071661237784,677.8644136807818,-232479.875,416208.75
20,40,150,100,0.7,0.5,3,415120.99999999994,531,57.81544256120527,781.7721280602635,-72838.25,415121.0
20,40,150,100,0.7,0.5,5,415120.99999999994,531,57.81544256120527,781.7721280602635,-72838.25,415121.0
30,20,100,100,0.6,0.75,3,414817.625,863,67.20741599073001,480.6693221320973,-338188.25,414817.625
30,20,100,100,0.6,0.75,5,414817.625,863,67.20741599073001,480.6693221320973,-338188.25,414817.625
20,20,150,100,0.7,0.75,3,414635.75,614,62.54071661237784,675.3025244299674,-232479.875,414635.75
20,20,150,100,0.7,0.75,5,414635.75,614,62.54071661237784,675.3025244299674,-232479.875,414635.75
20,40,200,100,0.7,0.5,3,413720.7499999999,531,58.00376647834275,779.1351224105459,-72838.25,413720.75
20,40,200,100,0.7,0.5,5,413720.7499999999,531,58.00376647834275,779.1351224105459,-72838.25,413720.75
20,20,200,100,0.7,0.75,3,413547.375,614,62.54071661237784,673.5299267100977,-232479.875,413547.375
20,20,200,100,0.7,0.75,5,413547.375,614,62.54071661237784,673.5299267100977,-232479.875,413547.375
40,40,100,150,0.7,0.5,3,413505.5,684,58.77192982456141,604.5402046783626,-137824.25,413505.5
40,40,100,150,0.7,0.5,5,413505.5,684,58.77192982456141,604.5402046783626,-137824.25,413505.5
30,20,150,100,0.5,0.5,3,412460.0,863,63.615295480880654,477.93742757821553,-211417.5,412460.0
30,20,150,100,0.5,0.5,5,412460.0,863,63.615295480880654,477.93742757821553,-211417.5,412460.0
40,20,200,100,0.7,0.75,3,411562.0,767,63.49413298565841,536.5867014341591,-319767.875,411562.0
40,20,200,100,0.7,0.75,5,411562.0,767,63.49413298565841,536.5867014341591,-319767.875,411562.0
30,20,100,100,0.5,0.5,3,411382.5,863,63.49942062572423,476.688876013905,-216137.5,411382.5
30,20,100,100,0.5,0.5,5,411382.5,863,63.49942062572423,476.688876013905,-216137.5,411382.5
30,40,200,100,0.7,1.0,3,411064.25,780,71.28205128205128,527.0054487179488,-342665.75,411064.25
30,40,200,100,0.7,1.0,5,411064.25,780,71.28205128205128,527.0054487179488,-342665.75,411064.25
40,20,100,200,0.7,0.5,3,410404.25,767,58.670143415906125,535.0772490221643,-183027.25,410404.25
40,20,100,200,0.7,0.5,5,410404.25,767,58.670143415906125,535.0772490221643,-183027.25,410404.25
20,20,200,150,0.7,1.0,3,409925.75,614,70.19543973941367,667.6315146579805,-175445.75,409925.75
20,20,200,150,0.7,1.0,5,409925.75,614,70.19543973941367,667.6315146579805,-175445.75,409925.75
30,40,200,100,0.6,0.5,3,409093.5,780,61.794871794871796,524.4788461538461,-142247.0,409093.5
30,40,200,100,0.6,0.5,5,409093.5,780,61.794871794871796,524.4788461538461,-142247.0,409093.5
30,20,150,100,0.6,0.75,3,408703.625,863,67.5550405561993,473.58473348783315,-330934.625,408703.625
30,20,150,100,0.6,0.75,5,408703.625,863,67.5550405561993,473.58473348783315,-330934.625,408703.625
20,20,150,150,0.7,1.0,3,406012.75,614,69.86970684039088,661.2585504885993,-175445.75,406012.75
20,20,150,150,0.7,1.0,5,406012.75,614,69.86970684039088,661.2585504885993,-175445.75,406012.75
30,20,100,150,0.6,0.75,3,404898.875,863,68.71378910776362,469.17598493626883,-290557.25,404898.875
